match_id,start_time_s,start_time_utc,patch,patch_source,winner,winner_team_index,team_1_average_badge,team_2_average_badge,team_1_hero_1,team_1_hero_2,team_1_hero_3,team_1_hero_4,team_1_hero_5,team_1_hero_6,team_2_hero_1,team_2_hero_2,team_2_hero_3,team_2_hero_4,team_2_hero_5,team_2_hero_6
77954476,1777023134,2026-04-24 09:32:14 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,55,55,50,13,64,12,3,19,10,81,27,6,7,11
77954463,1777023129,2026-04-24 09:32:09 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,76,76,1,66,11,77,76,79,52,18,65,67,2,31
77954461,1777023127,2026-04-24 09:32:07 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,41,41,64,2,79,77,18,63,13,6,58,67,15,76
77954456,1777023125,2026-04-24 09:32:05 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,65,66,13,27,4,65,11,79,20,25,19,17,10,60
77954453,1777023123,2026-04-24 09:32:03 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,74,74,52,19,15,2,8,67,27,1,3,79,11,76
77954452,1777023122,2026-04-24 09:32:02 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,24,24,63,69,72,10,25,15,20,52,17,1,12,35
77954437,1777023112,2026-04-24 09:31:52 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,81,81,58,72,3,69,4,64,52,20,11,76,65,31
77954436,1777023109,2026-04-24 09:31:49 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,56,56,66,69,20,58,60,80,50,76,67,19,17,12
77954425,1777023103,2026-04-24 09:31:43 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,83,83,58,31,13,6,81,67,1,16,15,3,11,2
77954408,1777023093,2026-04-24 09:31:33 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,54,54,63,2,50,6,15,67,13,19,18,7,76,11
77954399,1777023084,2026-04-24 09:31:24 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,72,72,1,13,4,35,14,60,64,31,50,79,80,3
77954396,1777023081,2026-04-24 09:31:21 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,14,13,50,76,13,11,3,12,8,63,79,1,64,10
77954394,1777023079,2026-04-24 09:31:19 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,22,22,13,80,66,77,69,12,64,79,27,1,76,11
77954376,1777023066,2026-04-24 09:31:06 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,83,83,66,80,14,10,31,1,25,76,15,67,13,4
77954369,1777023061,2026-04-24 09:31:01 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,81,81,63,67,35,20,25,65,58,7,66,8,69,11
77954368,1777023060,2026-04-24 09:31:00 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,55,54,76,19,11,31,52,14,35,63,1,20,12,80
77954367,1777023060,2026-04-24 09:31:00 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,12,14,1,76,20,52,65,3,72,64,14,67,63,7
77954365,1777023059,2026-04-24 09:30:59 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,12,12,18,67,52,65,19,2,20,60,3,27,64,25
